srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
3037939,AI,7,500004,233,233,131,B,ADLD,520004,10/24/2017,10/23/2017,3/30/2018,4474,4/3/2018,12
2860998,AJ,2,110018,233,233,228,A,ADLD,110034,1/12/2018,7/27/2017,2/11/2018,4388,2/15/2018,11
2830220,Y,21,110015,233,233,131,A,ADLD,121006,11/15/2017,7/25/2017,2/1/2018,4580,2/16/2018,10
2888545,AN,21,110015,233,233,131,A,ADLD,121002,10/23/2017,10/22/2017,2/20/2018,4580,2/22/2018,8
2892720,AN,21,110015,233,233,131,A,ADLD,201305,4/2/2017,3/30/2017,2/21/2018,4580,2/23/2018,11
2895652,AN,8,700064,233,233,131,A,ADLD,700059,7/27/2017,7/24/2017,2/22/2018,4508,2/24/2018,8
2994373,C,8,700064,233,233,131,A,ADLD,700017,4/8/2017,4/8/2017,3/18/2018,4511,3/20/2018,15
3037524,AN,8,700064,201,233,131,D,ADLD,722160,6/29/2017,6/27/2017,3/30/2018,4508,4/3/2018,13
3056036,AN,26,560066,308,233,131,A,ADLD,560066,3/17/2017,1/18/2017,4/5/2018,5001,4/9/2018,11
2957165,AJ,2,110018,233,233,228,A,ADLD,110029,8/8/2017,2/4/2017,3/8/2018,4388,3/25/2018,15
3069558,AN,22,400104,233,233,131,A,ADLD,401107,8/15/2017,8/12/2017,4/9/2018,4581,4/12/2018,10
3064592,AN,26,560066,233,233,131,A,ADLD,600029,1/25/2017,1/24/2017,4/7/2018,5001,4/11/2018,12
2881223,AN,2,110018,233,233,131,A,ADLD,110052,8/25/2017,8/23/2017,2/17/2018,4147,2/21/2018,10
2950312,C,2,110018,233,233,228,A,ADLD,122002,1/1/2018,12/12/2017,3/7/2018,4550,3/25/2018,12
3009341,AN,21,110015,233,245,228,A,ADLD,110093,12/18/2017,6/20/2017,3/22/2018,4580,3/24/2018,11
2849571,AJ,3,560011,233,233,131,A,ADLD,560011,3/14/2016,3/1/2016,2/7/2018,4460,2/12/2018,9
2858392,AN,8,700064,233,233,131,B,ADLD,722102,11/21/2017,11/8/2017,2/10/2018,4508,2/22/2018,12
2972123,C,2,110018,233,233,131,A,ADLD,121010,1/14/2017,10/10/2016,3/12/2018,4091,3/24/2018,17
3068079,H,1,400059,233,233,131,A,ADLD,400070,2/1/2018,1/13/2018,4/9/2018,4011,4/14/2018,16
2877432,AE,5,380009,233,233,131,A,ADLD,380022,1/13/2018,1/13/2018,2/16/2018,4033,2/20/2018,10
3007145,AN,26,560066,233,233,131,A,ADLD,560037,6/13/2017,6/10/2017,3/22/2018,5001,3/26/2018,10
3064357,AI,7,500004,233,233,131,A,ADLD,500008,3/20/2018,3/20/2018,4/7/2018,4474,4/11/2018,7
2835536,C,6,160059,233,233,228,B,ADLD,160020,7/5/2017,3/9/2017,2/3/2018,4549,2/13/2018,13
2884497,S,2,110018,233,233,131,A,ADLD,122001,4/23/2017,4/10/2017,2/19/2018,4150,2/22/2018,14
2898103,AN,22,400104,233,233,131,A,ADLD,380013,1/25/2017,1/24/2017,2/22/2018,4581,3/7/2018,9
2877988,AN,4,600024,233,233,131,A,ADLD,600015,4/18/2017,4/14/2017,2/16/2018,4490,2/23/2018,8
2940328,AN,3,560011,233,233,131,A,ADLD,560038,4/12/2017,4/12/2017,3/5/2018,4467,3/12/2018,9
2972237,AN,21,110015,233,233,131,A,ADLD,110005,2/16/2018,10/23/2017,3/12/2018,4580,3/16/2018,9
2963999,C,2,110018,233,233,228,A,ADLD,201301,2/16/2018,11/19/2017,3/10/2018,4091,3/19/2018,10
2971271,AJ,7,500004,233,233,228,B,ADLD,530016,10/10/2017,9/23/2017,3/12/2018,4474,3/23/2018,11
3015897,AN,21,110015,233,233,131,B,ADLD,324001,5/5/2017,5/3/2017,3/25/2018,4580,3/27/2018,11
3022406,AN,22,400104,233,233,131,A,ADLD,380024,6/21/2017,8/2/2016,3/26/2018,4581,4/4/2018,13
3006213,AJ,25,560037,233,233,131,A,ADLD,560103,8/25/2017,8/14/2017,3/22/2018,4460,4/1/2018,7
3058330,AJ,23,400001,233,233,228,C,ADLD,474001,8/10/2017,8/22/2017,4/5/2018,4398,4/8/2018,11
3066860,AN,21,110015,233,233,131,B,ADLD,152026,9/15/2017,9/11/2017,4/9/2018,4580,4/16/2018,14
2897117,AE,5,380009,233,233,131,A,ADLD,382481,1/15/2018,1/15/2018,2/22/2018,4033,2/28/2018,11
2990573,AA,24,110092,201,233,131,D,ADLD,743456,4/5/2017,1/28/2017,3/17/2018,4150,3/19/2018,17
2841060,G,6,160059,233,233,228,C,ADLD,151203,11/13/2017,1/18/2017,2/5/2018,4440,2/8/2018,15
2969720,C,5,380009,233,233,131,A,ADLD,380061,2/22/2018,1/13/2018,3/11/2018,4546,3/13/2018,12
3090561,AJ,7,500004,233,233,228,A,ADLD,500081,3/16/2018,11/22/2017,4/17/2018,4474,4/19/2018,7
2999723,C,2,110018,233,233,228,A,ADLD,201310,2/14/2018,11/16/2016,3/20/2018,4550,3/26/2018,11
3045104,AJ,27,110034,233,233,131,B,ADLD,124507,6/8/2017,5/5/2017,4/1/2018,4388,4/4/2018,14
3031078,Y,1,400059,308,233,131,A,ADLD,400070,1/11/2018,1/9/2018,3/28/2018,4581,4/14/2018,11
3050379,AI,8,700064,233,233,131,B,ADLD,781003,3/26/2018,3/26/2018,4/3/2018,4499,4/5/2018,20
2843413,AM,3,560011,233,245,131,A,ADLD,560010,1/24/2018,1/20/2018,2/6/2018,4462,2/13/2018,13
2946711,C,3,560011,233,245,131,A,ADLD,560050,6/16/2017,6/13/2017,3/6/2018,4461,3/17/2018,15
2870569,C,2,110018,233,233,131,B,ADLD,132103,7/8/2017,7/7/2017,2/14/2018,4094,2/18/2018,17
2838470,AN,21,110015,233,233,131,B,ADLD,132103,8/19/2016,8/11/2016,2/4/2018,4580,2/17/2018,12
2943543,C,8,700064,233,233,228,A,ADLD,700085,1/10/2018,9/15/2016,3/6/2018,4500,3/15/2018,14
2977422,AA,24,110092,201,233,131,D,ADLD,365540,12/6/2017,10/18/2017,3/13/2018,4012,3/17/2018,18
2821053,AJ,1,400059,233,233,228,B,ADLD,452002,1/11/2018,10/19/2017,1/30/2018,4398,2/3/2018,11
2850536,C,3,560011,233,233,131,A,ADLD,560043,6/15/2016,6/1/2016,2/7/2018,4461,2/21/2018,14
2931218,C,2,110018,233,233,228,A,ADLD,122001,2/14/2018,8/22/2017,3/3/2018,4550,3/13/2018,13
2838406,AD,2,110018,233,233,228,A,ADLD,110070,7/8/2017,7/1/2017,2/4/2018,4148,2/8/2018,13
2833139,AI,5,380009,233,233,131,B,ADLD,364002,12/11/2017,12/11/2017,2/2/2018,4422,2/10/2018,16
2830086,AF,4,600024,233,233,131,C,ADLD,628501,2/23/2017,2/22/2017,2/1/2018,4490,2/9/2018,13
2873669,AN,22,400104,233,233,131,A,ADLD,400080,12/6/2017,12/4/2017,2/15/2018,4581,2/19/2018,11
2870004,C,2,110018,233,233,131,A,ADLD,110092,3/1/2017,2/28/2017,2/14/2018,4091,2/17/2018,11
2861096,AN,2,110018,233,233,228,A,ADLD,110028,9/1/2017,6/19/2017,2/11/2018,4147,2/19/2018,13
2889996,AI,8,700064,233,233,131,B,ADLD,712311,2/5/2018,2/5/2018,2/20/2018,4499,2/22/2018,19
2823186,AN,21,110015,233,233,131,B,ADLD,211002,4/22/2017,4/21/2017,1/31/2018,4580,2/23/2018,12
2880034,AJ,2,110018,233,233,131,A,ADLD,110058,10/23/2016,10/19/2016,2/17/2018,4388,2/22/2018,14
2883710,AI,8,700064,201,233,131,D,ADLD,735121,1/2/2018,1/2/2018,2/18/2018,4499,2/22/2018,16
2911776,AA,17,800001,233,233,131,C,ADLD,834002,9/18/2017,9/2/2017,2/26/2018,4411,3/2/2018,19
2940446,AN,7,500004,233,233,131,B,ADLD,533004,1/23/2018,5/15/2017,3/5/2018,4403,3/10/2018,12
2954037,Y,6,160059,233,233,131,C,ADLD,144040,2/9/2018,1/12/2018,3/8/2018,4673,3/10/2018,18
2974081,AJ,23,400001,233,233,131,B,ADLD,403717,6/27/2017,6/23/2017,3/13/2018,4398,3/21/2018,16
2994685,AJ,2,110018,233,233,228,A,ADLD,110065,2/12/2018,2/9/2018,3/19/2018,4388,3/24/2018,10
3020399,J,2,110018,233,233,228,A,ADLD,500060,3/5/2018,3/3/2018,3/26/2018,5138,3/27/2018,19
3020731,AI,27,110034,233,233,131,A,ADLD,110007,3/14/2018,3/14/2018,3/26/2018,4388,3/28/2018,13
